start	end	text
272000	274000	像这种很多开放场景
274000	276000	有的并不是
276000	277000	它不像CV是输出
277000	279000	一些量化指标的吧
279000	280000	然后主观方面
280000	282000	你们是怎么做的评测
282000	283000	是这样
283000	285000	首先我们在模型选行的时候
285000	287000	会做一些针对性的测试
287000	288000	当然这个的话
288000	290000	可能就是会先看它一些
290000	292000	本来在一些开源数据上的表现
292000	293000	就它的打分底
293000	295000	首先我们能够把它去复现
295000	296000	然后的话
296000	297000	我们会针对自己的业务
297000	300000	比如说像那个VQA的话
300000	302000	是舱内的一些环境
302000	303000	那我们会先去构造
303000	305000	一些自己的测试集
305000	307000	包括舱内的这些环境
307000	308000	因为这个实际上舱内的环境
308000	311000	还是比较长尾的一个场景
311000	313000	所以会针对它去采集一些数据
313000	314000	然后进行标注
314000	316000	然后利用这个集子去进行摸底
316000	318000	就在模型选行阶段
318000	319000	然后真正去做的时候
319000	321000	就要根据这个业务本身
321000	324000	还要做更多的这种定制化的一些
324000	326000	测试集的扩充了
326000	327000	就比如说像VQA的话
327000	328000	除了我们知道
328000	330000	它的现在一些基本能力的话
330000	332000	是感知能力是有的话
332000	334000	它还包括它的问答能力
334000	335000	就是问答的话
335000	337000	它的回答是不是在
337000	339000	这个风格上面符合我们的预期
339000	340000	包括它的这个
340000	341000	是不是能够有一致性
341000	343000	等等这些类似这种吧
343000	344000	然后GYA阵的话
344000	345000	我们就要考虑它
345000	346000	是不是能够理解
346000	347000	这个用户的一个意图
347000	349000	并且能够很好的完成
349000	350000	整个这个流程
350000	351000	包括最后这个结果
351000	352000	是不是我们预期的
352000	353000	包括中间一些结果
353000	355000	是不是明明用我们中间的步骤
355000	357000	还有一些像像一些
357000	359000	比较隧道安全的
359000	361000	比如说这个GYA阵的话
361000	362000	我们可能会考虑它
362000	364000	中间是不是有包含
364000	366000	一些必要的澄清的步骤
366000	367000	VQA的话就得包含一些
367000	369000	像一些有些问题
369000	371000	可能它本身会比较容易引导出
371000	373000	一些敏感的回答的话
373000	374000	我们要保证它的安全
374000	375000	回答不回来
375000	376000	也不能带这些
376000	377000	不应该出现的词等等
377000	378000	所以这块
378000	379000	针对我们的不同的业务
379000	381000	都会去构造自己的一些棋子
381000	382000	并且最后上线之前的话
382000	383000	其实也是针对这些棋子
383000	385000	去进行一个评估的
386000	389000	所以其实你们还是会
389000	392000	有一些定量指标
392000	393000	去做一些评测对吧
393000	396000	对这块其实非常非常多的
396000	398000	非常多的进度和快快在上面
398000	399000	就主要的话
399000	400000	这个数据上
400000	402000	这块其实就是我们的一个重点
402000	404000	在做这个事情的时候
404000	406000	那你们在刚刚我听到
406000	408000	你们其实做了后训练微调
408000	411000	你们大概微调的数量级是多少
411000	413000	我们像那个VQA的话
413000	414000	因为实际上比较多的话数
414000	415000	这个还要比较比较重
415000	417000	这个的话大概是几十万的
417000	418000	这个一个量级
418000	420000	对就是微调这一块
420000	422000	然后我说微调是SFT
422000	425000	然后DPO的话会有少一些
425000	426000	少一些就可能就一两万了
426000	428000	因为它这个主要针对一些
428000	429000	特例去做的
430000	432000	你们像刚刚说的几十万
432000	434000	或者说这一两万数据级
434000	435000	你们标注哪来呢
435000	436000	是这样
436000	438000	就是我们所谓的几十万数据里面
438000	440000	有是分的大概是
440000	443000	大概是一半是这个一些开源数据
443000	444000	因为我们需要保证
444000	445000	它的这个VQA
445000	448000	能够有一些基础的感知能力
448000	450000	就是它比如说对于一些物品的
450000	451000	基本能力会有识别出来
451000	453000	那这个其实很多开源的VQA数据就够了
453000	455000	那这块就是我们大概清洗下就够
455000	456000	这个不需要标注
456000	457000	然后另外一半的话
457000	458000	是我们这边去
458000	461000	首先它是因为车内这个环境的话
461000	462000	没有开源数据
462000	464000	我们是需要去定制采集的
464000	465000	这采集的方法就是说
465000	466000	我们去找一些外包
466000	469000	然后他们会在我们这些小棚的
469000	470000	内部的车上
470000	472000	然后去派一些
472000	474000	固定的演员上去做
474000	475000	然后的话
475000	476000	这些人物他本身有信息的吧
476000	477000	包括他的年龄
477000	479000	他的这个性别等等
479000	480000	所以这些其实是我们
480000	481000	以这些信息
481000	482000	这块不需要标注
482000	483000	然后他们坐的位置的话
483000	486000	在采集的过程中会进行记录
486000	487000	就相当于拿到的时候
487000	488000	我们已经知道
488000	489000	大概这个车里
489000	490000	什么位坐了什么人了
490000	491000	对
491000	492000	但是其他的像这种
492000	493000	说话的话术的话
493000	494000	这个就没有办法
494000	495000	这个因为是
495000	496000	这个东西需要我们去生成
496000	499000	首先我们先调开模型去生成
499000	500000	生成这个话术之后
500000	502000	然后会去用大模型的打分
502000	503000	当然这打分本身也会
503000	505000	就会和这个人具主控杉线
505000	507000	也有也也会一起去做
507000	508000	然后打分之后再把这些
508000	510000	我们认为比较好数据捞出来
510000	512000	所以主要是做这些事
512000	513000	就相当于是一些
513000	515000	感知相关的这种标注的话
515000	518000	我们其实大部分是在生成阶段
518000	520000	就已经拿到这些信息了
520000	521000	所以不需要人工去做
521000	522000	但是像这些主观
522000	523000	就话术类似的话
523000	525000	这个可能需要人去介入
526000	527000	哦 明白
527000	531000	那你有做过时序相关的多模态吗
531000	532000	就是我理解
532000	535000	比如说你说当前车主
535000	536000	他穿了什么衣服
536000	538000	这个其实拍一张图片就可以知道
538000	540000	但是像我们这种场景
540000	542000	特别是我们现在做更多像是
542000	544000	或者说一些素材
544000	546000	它是其实需要联系上下文
546000	549000	前后整个时序的这种输入
549000	551000	来判断当前他在干什么
551000	553000	像这种时序相关的多模态
553000	554000	你有做过吗
554000	556000	我们这边其实刚刚说了
556000	557000	VQA场景的话
557000	560000	可能它不是多模态的上下文
560000	561000	它上下文更多是关于文本的
561000	562000	比如我上面聊天
562000	563000	聊天的内容是什么
563000	566000	我会根据上文去回答现在这个问题
566000	568000	但是GY Agent的这个话
568000	569000	其实它本身就是时序
569000	570000	因为我们会
571000	573000	比如操作一个发消息这个东西
573000	576000	它是会有很多步的点击动作的
576000	579000	比如说我们得先在手机上点开微信
579000	580000	然后再去找个联系人
580000	582000	再去把这个内容粘贴到里面
582000	583000	去再去点击发送
583000	586000	这其实本身就是一个动作的序列
586000	587000	然后我每一步
587000	589000	其实它都是需要依赖
589000	592000	我这个当前手机截图的
592000	593000	所以相当于我每一步
593000	594000	它也是有截图
594000	596000	加上指令这些东西去作为输入的
596000	597000	所以这一块的话
597000	600000	就是应该是一个时序上的一个规划
600000	601000	这么一个任务
607000	608000	对 然后的话
608000	610000	我们还要考虑就是之前做过什么
610000	611000	我们这边也会做一些记忆的东西
611000	613000	因为会考虑到它
613000	615000	之前是不是有一些动作已经做完了
615000	616000	或者哪个东西做错了
616000	618000	这个其实会去作为上下文
618000	619000	去引导我们下一步的动作
619000	621000	包括我们会去把一些用户的习惯
621000	622000	进行一个缓存
622000	624000	作为一个记忆去帮助我们
624000	627000	下一次可以更好的去服务用户
627000	628000	所以这块其实是一个
628000	630000	比较完整的一个系统
634000	636000	然后另外我再问一下
636000	637000	你刚刚有说到
637000	638000	做数据闭环
638000	640000	然后选一些Hardcase
640000	644000	再模型再做训练
644000	645000	其实这部分也是
645000	647000	我们之后想要做的一个部分
647000	648000	其实我们居成这边
648000	650000	可能更多的叫数据飞格
650000	652000	我不知道你有没有了解过
653000	654000	跟这个数据闭环
654000	655000	其实是比较相似的
655000	658000	你可以多多介绍一下这个部分
658000	660000	想看跟我们之后
660000	662000	能不能帮盘队
662000	663000	可以更好的建设这个想法
663000	664000	明白
664000	666000	就是我先介绍我们这背景
666000	667000	背景的话就是
667000	669000	因为我们现在是
669000	671000	支架和座舱合并了
671000	673000	所以现在是数据也要打通
673000	674000	打通的话就是
674000	675000	相当于是我们需要
675000	677000	一个是能够把两边的数据
677000	679000	能够融合到一个池子里面去
679000	680000	第二就是我们是希望
680000	681000	能够有一个自动的
681000	683000	这么一个机制吧
683000	685000	可以把每次线上运行的数据
685000	686000	进行一个捞取
686000	687000	捞取的逻辑的话
687000	689000	就是说我们会去
689000	691000	把自己的一个
691000	692000	就是类似这个业务的
692000	694000	业务数据拿过来
694000	695000	然后去训练更大的模型
695000	696000	就因为我们这边
696000	697000	有些模型是在端上跑
697000	698000	端上模型很小
698000	700000	可能就7B甚至3B
700000	701000	然后云端模型的话
701000	702000	其实考虑到一个成本问题
702000	703000	也会比较小一点
703000	704000	就14B就最多了
704000	705000	最后我们会用一个
705000	707000	更大的模型去
707000	709000	用这种类似数据去训练
709000	710000	训练之后呢
710000	712000	理论上这个模型会比
712000	713000	我们线上模型效果
713000	714000	会更好一点
714000	715000	那么一旦我们发现
715000	716000	用我们模型
716000	717000	跑同样的case
717000	719000	结果和线上是有差异的
719000	720000	我们就先假设
720000	721000	它这个模型
721000	723000	这个数据本身是蓝绿
723000	724000	对 然后拿出来之后的话
724000	725000	我们这边
725000	726000	现在模型也在迭代当中嘛
726000	728000	就是还是会需要一些
728000	730000	人工的揭露去帮忙去
730000	732000	初检
732000	733000	看看是不是有diff的
733000	735000	就是我们对他们错
735000	736000	然后的话把这些
736000	738000	确实确定他们有问题的数据
738000	739000	给了业务方让他们去
739000	741000	迭代他们的模型
741000	742000	如果说这个过程当中
742000	743000	有一些数据是
743000	744000	我们这边自己的
744000	745000	模型不对的话
745000	746000	那我们也会去迭代
746000	747000	我们这个更大的模型
747000	749000	就这样做一个迭代
749000	751000	这么一个工作
751000	752000	像你们这个迭代
752000	754000	是去自动吗
754000	755000	比如说模型
755000	757000	什么时候需要训练
757000	758000	或者说你们发的case
758000	760000	进展到什么程度下
760000	761000	自动触发训练
761000	762000	像这种是自动
762000	763000	还是说还是需要
763000	765000	人工去进行一个参与
765000	766000	目前是按自动去
766000	767000	搭建了一个pipeline
767000	770000	就还在试运营阶段
770000	771000	就是我们是这样
771000	773000	就是我们会定期去捞数据
773000	774000	然后数据
774000	776000	因为其实每一个
776000	777000	每个业务方
777000	778000	他们的模型的更新迭代
778000	780000	其实也是有一定周期的
780000	781000	所以我们一般是说
781000	783000	就是在这个周期前的话
783000	785000	这个周期之间
785000	786000	会给他们固定次数
786000	787000	去提供这个数据
787000	788000	但是如果数据太少的话
788000	789000	比如说几十条
789000	790000	可能就无所谓了
790000	791000	但一旦再高
791000	792000	比如说
792000	794000	大到千或万级别的时候
794000	795000	我们就会自动
795000	797000	把这个数据给到他们
797000	798000	这个其实就是
798000	799000	我们去搭建一个pipeline
799000	800000	去做这个事情
800000	802000	然后主要的话
802000	803000	难度可能就在于
803000	805000	后面怎么去区分
805000	807000	各个业务方的需求
807000	808000	因为实际上
808000	809000	我们捞数据的方式
809000	810000	包括怎么给数据
810000	811000	这个量可能
811000	812000	每个业务方的要求
812000	813000	是不一样的
813000	814000	所以我们可能需要
814000	815000	做一些定制化的一些服务
815000	816000	就这块
816000	818000	其实我们目前比较
818000	821000	专注的一个点
821000	823000	像这种迭代训练的话
823000	824000	会带着之前的数据
824000	826000	一起去吗
826000	827000	您指的是我们的模型
827000	828000	还是他们的模型
828000	831000	就是你说训练的小模型
831000	832000	对吧
832000	833000	你其实是用大模型
833000	834000	筛选它的case
834000	836000	然后去迭代小模型
836000	837000	但是其实小模型
837000	838000	有一点就是
838000	840000	如果你一直这样
840000	842000	用新的数据去训练它
842000	844000	不掺旧数据的话
844000	845000	可能会有模型遗忘
845000	846000	这个问题
846000	847000	所以想问一下
847000	848000	像你们那边是
848000	850000	会每次迭代训练的时候
850000	851000	包着所有
851000	853000	以往历史的数据一起去
853000	855000	还是说用新数据训练
855000	857000	像我们这种的话
857000	858000	一般还是要
858000	859000	合在一起训练
859000	860000	对 还是合在一起训练
860000	862000	但是如果说
862000	863000	后面数据量太大的话
863000	865000	可能会进行一些缩减
865000	867000	因为它不能无限去增加
867000	868000	这块还是需要
868000	870000	对 这块还是考虑说
870000	871000	有一些数据可能
871000	872000	跟之前的比较相似
872000	873000	我们会统一它的分布
873000	874000	就是这个数据
874000	875000	它本身比如说
875000	877000	都是同一个类的
877000	878000	同一个类型的话
878000	880000	它可能就比如按query去分
880000	881000	或者它锤一起分
881000	882000	分完之后
882000	883000	它会把它这个
883000	885000	做一个分布上的平均之后
885000	887000	再去从中的拆解数据
887000	888000	它就不会说
888000	889000	无限去加
890000	891000	就是说
891000	892000	比如有些类
892000	894000	它数量已经足够多了
894000	896000	就不再增加对吧
896000	897000	对
897000	898000	解决一些场外问题
898000	899000	或者说
899000	900000	这一类的数据
900000	901000	它就是
901000	902000	比如这一类数据
902000	903000	我们有很多
903000	904000	但是确实也发现
904000	905000	有一些线上已知的错例了
905000	906000	那这种我们可能
906000	907000	也不用不管
907000	908000	那就会把之前一些
908000	909000	可能比较相似的
909000	910000	简单的例子
910000	911000	给它去掉
911000	912000	这种例子
912000	913000	哪里去做
913000	914000	明白
922000	923000	我这边其实没有什么问
923000	924000	我稍微介绍一下
924000	925000	我们团队
925000	926000	因为负责人还没有来
926000	927000	好
927000	928000	我会让你
928000	929000	对我们这个团队
929000	930000	目前有一些的理解
930000	931000	是这样的
931000	932000	我们现在
932000	933000	我不知道你有没有理解
933000	935000	了解很多
935000	937000	巨顺相关的数据
937000	938000	比如说现在比较火的
938000	940000	当然巨顺数据
940000	941000	更多的就像摇操
941000	942000	这个可能是离真机
942000	943000	最近的一个数据
943000	944000	但是它程度比较高
944000	946000	然后其次可能会有一些
946000	948000	远程控制
948000	949000	野山摇
949000	950000	Eagle
950000	951000	Uni这些
951000	952000	对对对
952000	953000	Eagle Uni
953000	954000	这些的
954000	955000	像Uni
955000	956000	我们已经是
956000	958000	入名比较成熟的一个产品了
958000	959000	也是有很多订单了
959000	960000	也比较稳定了
960000	961000	然后现在
961000	962000	就是我们在做
962000	963000	Eagle相关的
963000	964000	Eagle
964000	965000	也是近几个月
965000	966000	刚开始开始的
966000	967000	那Eagle
967000	968000	其实更多的
968000	969000	就像你刚说
969000	970000	你有一些项目
970000	971000	像多模态之类的
971000	972000	那它里面
972000	973000	其实我们目前
973000	974000	有九大模块
974000	975000	输出的
975000	976000	大概有几个部分
976000	977000	就是
977000	978000	比如说像
978000	979000	Hand Pose
979000	980000	手部的轨迹
980000	981000	Slam
981000	983000	像应用到
983000	984000	多模态的
984000	985000	就是输出
985000	986000	我是要对
986000	987000	当前这个人的动作
987000	988000	行为
988000	989000	做一个
989000	990000	多模态
990000	991000	这个
991000	992000	它的动作
992000	993000	语语标注
993000	994000	这个这个
994000	995000	可以理解一下
995000	996000	然后另外还有像
996000	997000	深入图
997000	998000	还有3D
998000	999000	这个
999000	1000000	这个
1000000	1001000	还有
1001000	1002000	深度图
1002000	1003000	对
1003000	1004000	像这种
1004000	1005000	大概就这几个部分
1005000	1006000	然后要最后
1006000	1007000	作为一个
1007000	1008000	整个的
1008000	1009000	术馆的结果
1009000	1010000	给到客户也好
1010000	1011000	给到我们自己的
1011000	1012000	模型训练也好
1012000	1013000	并且之后
1013000	1014000	可能会规模
1014000	1015000	非常地大
1015000	1016000	因为像Eagle
1016000	1017000	数据基本上
1017000	1018000	都是用作
1018000	1019000	这个
1019000	1020000	具身的
1020000	1021000	预训面
1021000	1022000	其实就很像
1022000	1023000	是大模型
1023000	1024000	它去把
1024000	1025000	网络的
1025000	1026000	互联网的数据
1026000	1027000	去做这种
1027000	1028000	它的质量
1028000	1029000	并不如
1029000	1030000	摇操数据
1030000	1031000	来得那么精准
1031000	1032000	但是它
1032000	1033000	因为它
1033000	1034000	亮到环保可以
1034000	1035000	所以以后一定是
1035000	1036000	往预训面
1036000	1037000	方向发展的
1037000	1038000	这个是一个
1038000	1039000	基本盘
1039000	1040000	然后所以我们这边
1040000	1041000	可能更多地
1041000	1042000	想要招
1042000	1043000	哪些相关的
1043000	1044000	一个就是
1044000	1045000	对高
1045000	1046000	我说的这几大模块
1046000	1047000	算法
1047000	1048000	是比较了解的
1048000	1049000	像刚刚我听到
1049000	1050000	您那边
1050000	1051000	比较契合的像
1051000	1052000	东方派
1052000	1053000	这就是一个
1053000	1054000	是模型
1054000	1055000	怎么调
1055000	1056000	怎么能够
1056000	1057000	做一条之后
1057000	1058000	可以出更好的结果
1058000	1059000	这是一个方向
1059000	1060000	然后另外呢
1060000	1061000	其实我们是
1061000	1062000	之后呢
1062000	1063000	想要做一个数据飞轮
1063000	1064000	像现在
1064000	1066000	包括很多的巨商
1066000	1067000	还是处于一个
1067000	1068000	就是
1068000	1069000	这个这个
1069000	1070000	我有数据
1070000	1071000	我去做推导
1071000	1072000	然后再去
1072000	1073000	在阵地上做测验
1073000	1074000	看效果行不行
1074000	1075000	然后再
1075000	1076000	人工再去
1076000	1077000	筛选
1077000	1078000	什么的
1078000	1079000	就是整个的
1079000	1080000	链路可能非常长
1080000	1081000	也比较的
1081000	1082000	周期很长
1082000	1083000	也希望呢
1083000	1084000	之后能够达到一个
1084000	1085000	就是
1085000	1086000	数据飞轮
1086000	1087000	整个的转起来
1087000	1088000	这样在
1088000	1089000	不管说是
1089000	1090000	有什么
1090000	1091000	VLA的模型
1091000	1092000	或者世界模型
1092000	1093000	就是它只是
1093000	1094000	作为一个算子
1094000	1095000	而更重要的是
1095000	1096000	怎么能够
1096000	1097000	把数据
1097000	1098000	更好的喂给
1098000	1099000	模型
1099000	1100000	怎么能够把
1100000	1101000	整个的生态系统
1101000	1102000	迭代起来
1102000	1103000	这是我们之后的
1103000	1104000	一个畅想
1104000	1105000	所以说
1105000	1106000	这也是我们
1106000	1107000	团队目前想要
1107000	1108000	招的人才
1108000	1109000	来做这个方向
1109000	1110000	不知道你对
1110000	1111000	这两个方面
1111000	1112000	是否有这个
1112000	1113000	感兴趣
1113000	1114000	或者说
1114000	1115000	是你自己的
1115000	1116000	一个职业规划
1116000	1117000	就是
1117000	1118000	明白
1118000	1119000	就首先的话
1119000	1120000	我这边的话
1120000	1121000	是
1121000	1122000	目前的话
1122000	1123000	就是因为
1123000	1124000	我投咱们这边
1124000	1125000	也是上周才投的
1125000	1126000	对吧
1126000	1127000	上周末
1127000	1128000	对吧
1128000	1129000	其实是因为
1129000	1130000	我这边
1130000	1131000	现在感觉
1131000	1132000	居心智能
1132000	1133000	肯定未来是
1133000	1134000	一个非常好的方向
1134000	1135000	然后的话
1135000	1136000	对
1136000	1137000	然后的话
1137000	1138000	说实话
1138000	1139000	我这边本来
1139000	1140000	想搞agent
1140000	1141000	但是我发现
1141000	1142000	agent
1142000	1143000	其实它本身
1143000	1144000	可以做东西
1144000	1145000	会更多一点
1145000	1146000	那么我也是考虑
1146000	1147000	一个长期发展
1147000	1148000	所以觉得这个方向
1148000	1149000	一个是它有
1149000	1150000	它的价值
1150000	1151000	第二话
1151000	1152000	它也有很多新的可以做
1152000	1153000	所以我就觉得
1153000	1154000	后面就是决定
1154000	1155000	就是往这方面
1155000	1156000	去主攻了
1156000	1157000	对
1157000	1158000	然后的话
1158000	1159000	应该说那几个问题
1159000	1160000	其实我也觉得
1160000	1161000	我这边
1161000	1162000	其实做一些事情
1162000	1163000	可能跟咱们本身
1163000	1164000	是有很多的相似之处
1164000	1165000	然后就是
1165000	1166000	就是我这边
1166000	1167000	有一个有一个
1167000	1168000	有一个疑问
1168000	1169000	想问一下
1169000	1170000	就是咱们这边
1170000	1171000	后面的话
1171000	1172000	主要的任务
1172000	1173000	是可据采集
1173000	1174000	还是模型训练
1177000	1178000	我们最终服务于
1178000	1179000	模型训练
1179000	1180000	就是采集
1180000	1181000	只是我们的一个
1181000	1182000	工作流中的一块
1182000	1183000	明白
1183000	1184000	就是可据
1184000	1185000	不管怎么做
1185000	1186000	它数据出什么
1186000	1187000	还是说数据怎么出
1187000	1188000	最终都是为了
1188000	1189000	服务于下一个
1189000	1190000	我们要把模型
1190000	1191000	训练得更好
1191000	1192000	这个我理解
1192000	1193000	就像
1193000	1194000	对
1194000	1195000	我
1195000	1196000	比如说我们
1196000	1197000	其中更多的工作重点
1197000	1198000	是什么
1198000	1199000	就是因为我们
1199000	1200000	这边是术馆组
1200000	1201000	然后我们还有模型组
1201000	1202000	对吧
1202000	1203000	还有很多
1203000	1204000	他们的客户肯定
1204000	1205000	都是训练模型的
1205000	1206000	然后
1206000	1207000	然后其实模型
1207000	1208000	很多的时候
1208000	1209000	我也说的很直白
1209000	1210000	就是很多家
1210000	1211000	现在大家都是
1211000	1212000	初创企业
1212000	1213000	很多的VOA模型
1213000	1214000	其实都是网上开源的
1214000	1215000	他们也不会说
1215000	1216000	去对模型进行
1216000	1217000	架构上的优化
1217000	1218000	去做训练的工作
1218000	1219000	那也是
1219000	1220000	说家的训练
1220000	1221000	是训练模型
1221000	1222000	那这个时候
1222000	1223000	其实最重要的
1223000	1224000	对于他们来说
1224000	1225000	就是两个问题
1225000	1226000	一个就是
1226000	1227000	给到他们做训练的
1227000	1228000	这个数据
1228000	1229000	是否是有效的
1229000	1230000	价值是否是高的
1230000	1231000	我们能够在
1231000	1232000	真机也好
1232000	1233000	仿真也好
1233000	1234000	去做整个的评测
1234000	1235000	然后再选出
1235000	1236000	刚刚你说的
1236000	1237000	一些hard case
1237000	1238000	然后去做迭代
1238000	1239000	当然了
1239000	1240000	仿真也是
1240000	1241000	我们部门之后
1241000	1242000	要做的
1242000	1243000	就是我们会搭建
1243000	1244000	测评的这种仿真平台
1244000	1245000	就是整个的生态链
1245000	1246000	是要闭环起来的
1246000	1247000	才能
1247000	1248000	那这个时候
1248000	1249000	其实你刚刚说
1249000	1250000	训练模型
1250000	1251000	我们可能更多的就是
1251000	1252000	比如说现在训练的
1252000	1253000	就是
1253000	1254000	我要把这个数据
1254000	1255000	各个模块的标注
1255000	1256000	输出
1256000	1257000	那输出的时候
1257000	1258000	肯定是用的
1258000	1259000	模型
1259000	1260000	那这个模型
1260000	1261000	我怎么能够训练它
1261000	1262000	或者说
1262000	1263000	怎么提高它的一个进度
1263000	1264000	对吧
1264000	1265000	这是一个训练
1265000	1266000	然后第二个呢
1266000	1267000	就是后面呢
1267000	1268000	我们去做仿真
1268000	1269000	仿真的时候呢
1269000	1270000	我们
1270000	1271000	当然那块
1271000	1272000	我们还没有设计
1272000	1273000	这是一个计划
1273000	1274000	下一个要做的
1274000	1275000	那个时候
1275000	1276000	我们仿真
1276000	1277000	那个地方呢
1277000	1278000	目前我们要去怎么做
1278000	1279000	当然了
1279000	1280000	如果说你要去修
1280000	1281000	我现在就是只想
1281000	1282000	对BOA去做一个
1282000	1283000	创新
1283000	1284000	错解的
1284000	1285000	那可能模型组合
1285000	1286000	适合你
1286000	1287000	但是如果
1287000	1288000	对于你来说
1288000	1289000	BOA它
1289000	1290000	它只是整个数据并网
1290000	1292000	里面的一个算子
1292000	1294000	那我知道我们
1294000	1295000	我们这边还是
1295000	1297000	就是以这个为初心的
1297000	1298000	就是
1298000	1299000	我们现在
1299000	1300000	当然也有很多家
1300000	1301000	就是说
1301000	1302000	有些家是说
1302000	1303000	以BOA为主
1303000	1304000	有些家说
1304000	1305000	是以世界模型为主
1305000	1306000	对吧
1306000	1308000	那对于我们数据飞轮来说
1308000	1309000	你是怎么输出
1309000	1310000	那个action
